Week #,Date(MM-DD-YYY),Day of the Week,Hours of Activity,Pages Read,Assignments due today,Social events today(hrs),Assignments due this week,Upcoming tests this week,Stress level /5,Quantified stress
3,04-16-2025,Wednesday,1.5,30,2,1,4,0,1.5,6
3,04-17-2025,Thursday,2,52,0,1,2,0,2,2
3,04-18-2025,Friday,0.5,10,0,3,2,0,1,1
3,04-19-2025,Saturday,0.5,12,0,2,2,0,1,1
3,04-20-2025,Sunday,0,0,1,5,1,0,1.5,2.25
4,04-21-2025,Monday,2,38,1,0,1,0,0,0
4,04-22-2025,Tuesday,1,43,1,4,4,0,2,6
4,04-23-2025,Wednesday,0.5,14,1,1,3,0,3.5,8.75
4,04-24-2025,Thursday,1,32,1,6,2,0,1.5,3
4,04-25-2025,Friday,0,0,1,8,1,0,0.5,0.75
4,04-26-2025,Saturday,1,46,0,4,0,0,1,0
4,04-27-2025,Sunday,1.5,70,0,4,0,0,0.5,0
5,04-28-2025,Monday,0.2,6,1,5,5,1,2,11
5,04-29-2025,Tuesday,0,0,1,3,4,1,2,10
5,04-30-2025,Wednesday,0,0,2,1,3,1,3,16.5
5,05-01-2025,Thursday,0.75,30,0,0,1,0,0.5,0.25
5,05-02-2025,Friday,0,0,1,5,1,0,1,1.5
5,05-03-2025,Saturday,0,0,0,7,0,0,0,0
5,05-04-2025,Sunday,0.5,11,0,5,0,0,1.5,0
6,05-05-2025,Monday,0,0,0,4,6,1,3,15
6,05-06-2025,Tuesday,0,0,1,2,6,1,3,18
6,05-07-2025,Wednesday,0,0,4,5,5,1,3,25.5
6,05-08-2025,Thursday,1,38,0,4,1,0,4,2
6,05-09-2025,Friday,0.5,17,1,4,1,0,2,3
6,05-10-2025,Saturday,1,27,0,12,0,0,1,0
6,05-11-2025,Sunday,0.5,18,0,1,0,0,3,0
7,05-12-2025,Monday,0,0,1,3.5,4,1,4,20
7,05-13-2025,Tuesday,0,0,1,1,3,1,3,13.5
7,05-14-2025,Wednesday,0.5,13,1,2,2,0,5,10
7,05-15-2025,Thursday,1,47,0,3,1,0,4,2
7,05-16-2025,Friday,0,0,1,12,1,0,4,6
7,05-17-2025,Saturday,0,0,0,2,0,0,4,0
7,05-18-2025,Sunday,0.75,37,0,3,0,0,3,0
8,05-19-2025,Monday,1,32,0,5,4,0,4,8
8,05-20-2025,Tuesday,0.5,20,1,1,4,0,4,12
8,05-21-2025,Wednesday,1,34,2,5,3,0,2,7
8,05-22-2025,Thursday,0.75,30,0,1,1,0,2,1
8,05-23-2025,Friday,0,0,1,8,1,0,4,6
8,05-24-2025,Saturday,0,0,0,8,0,0,0,0
8,05-25-2025,Sunday,1,56,0,0,0,0,0,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
